country_code,postal_code_clean,city_raw,city_normalized,city_normalization_confidence,city_normalization_method,city_normalization_note,admin_region,admin_district,latitude,longitude,geonames_places_count,geonames_place_names
CZ,78314,Štarnov,Štarnov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.6624,17.278975,4,Štarnov | Hlušovice | Lašťany-Bělkovice | Bohuňovice
CZ,78316,Dolany,Dolany,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.666383,17.354433,6,Dolany | Bělkovice-Lašťany | Tovéř | Pohořany | Jívová | Véska
CZ,78321,Chudobín,Chudobín,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.69898,17.011607,15,Chudobín | Bílá Lhota | Nasobůrky | Mladeč | Myslechovice | Měník | Červená Lhota | Víska | Hrabí | Sobáčov | Haňovice | Nová Ves | Pateřín | Řimice | Kluzov
CZ,78322,Vilémov,Vilémov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.642543,17.031843,7,Vilémov | Dubčany | Bílsko | Odrlice | Olbramice | Cholina | Loučka
CZ,78323,Cakov,Cakov,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Olomoucký kraj,Olomouc,49.6271,17.0245,1,Cakov
CZ,78324,Měrotín,Měrotín,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.67366,16.95449,10,Měrotín | Slavětín | Javoříčko | Březina | Luká | Savín | Střemeníčko | Veselíčko | Ješov | Hradečná
CZ,78325,Hvozdečko,Hvozdečko,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.699731,16.901169,13,Hvozdečko | Bezděkov | Kovářov | Bouzov | Kadeřín | Kozov | Olešnice | Podolí | Jeřmaň | Obectov | Doly | Svojanov | Blažov
CZ,78332,Náklo,Náklo,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.668575,17.138275,4,Náklo | Lhota nad Moravou | Střeň | Mezice
CZ,78333,Příkazy,Příkazy,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.6567,17.1582,2,Příkazy | Hynkov
CZ,78335,Skrbeň,Skrbeň,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.640033,17.2064,3,Skrbeň | Horka nad Moravou | Chomoutov
CZ,78336,Křelov-Břuchotín,Křelov-Břuchotín,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.619267,17.1884,3,Křelov-Břuchotín | Křelov | Břuchotín
CZ,78342,Slatinky,Slatinky,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Prostějov,49.5534,17.102775,4,Slatinky | Třebčín | Slatinice | Lípy
